MCD,Age10 (kyr),Lithics/gm,IRD (%)
53.89,405.99,5.92,0.29
53.94,406.16,7.83,0.26
53.96,406.23,0.00,0.00
53.99,406.33,21.11,0.88
54.04,406.50,0.00,0.00
54.09,406.67,0.00,0.00
54.11,406.74,7.84,0.42
54.14,406.85,8.21,0.30
54.16,406.91,0.00,0.00
54.19,407.02,0.00,0.00
54.24,407.19,16.51,0.28
54.29,407.36,0.00,0.00
54.31,407.43,12.04,0.38
54.34,407.53,0.00,0.00
54.36,407.60,0.00,0.00
54.39,407.70,0.00,0.00
54.44,407.87,0.00,0.00
54.49,408.04,0.00,0.00
54.51,408.11,0.00,0.00
54.54,408.21,0.00,0.00
54.56,408.28,0.00,0.00
54.59,408.38,0.00,0.00
54.64,408.55,11.66,0.25
54.66,408.62,0.00,0.00
54.69,408.72,0.00,0.00
54.74,408.90,0.00,0.00
54.76,408.96,0.00,0.00
54.79,409.07,0.00,0.00
54.81,409.13,0.00,0.00
54.84,409.24,0.00,0.00
54.89,409.41,20.81,0.30
54.91,409.48,12.62,0.43
54.94,409.58,21.13,0.34
54.96,409.65,0.00,0.00
54.99,409.75,21.75,0.33
55.01,409.82,0.00,0.00
55.04,409.92,0.00,0.00
55.09,410.09,0.00,0.00
55.11,410.16,0.00,0.00
55.14,410.26,0.00,0.00
55.16,410.33,0.00,0.00
55.19,410.43,0.00,0.00
55.21,410.50,17.57,0.52
55.24,410.60,21.20,0.54
55.29,410.77,0.00,0.00
55.31,410.84,33.59,0.76
55.34,410.95,0.00,0.00
55.39,411.12,0.00,0.00
55.41,411.19,0.00,0.00
55.44,411.29,0.00,0.00
55.46,411.36,0.00,0.00
55.49,411.46,0.00,0.00
55.54,411.63,0.00,0.00
55.59,411.80,0.00,0.00
55.61,411.87,0.00,0.00
55.64,411.97,0.00,0.00
55.66,412.04,0.00,0.00
55.69,412.14,0.00,0.00
55.74,412.31,0.00,0.00
55.79,412.48,0.00,0.00
55.81,412.55,0.00,0.00
55.84,412.65,0.00,0.00
55.86,412.72,0.00,0.00
55.89,412.83,0.00,0.00
55.94,413.00,0.00,0.00
55.99,413.17,0.00,0.00
56.01,413.24,0.00,0.00
56.04,413.34,0.00,0.00
56.06,413.41,0.00,0.00
56.09,413.51,0.00,0.00
56.14,413.68,0.00,0.00
56.19,413.85,0.00,0.00
56.21,413.92,0.00,0.00
56.24,414.02,0.00,0.00
56.26,414.09,0.00,0.00
56.29,414.19,0.00,0.00
56.34,414.36,0.00,0.00
56.39,414.53,0.00,0.00
56.41,414.60,0.00,0.00
56.44,414.70,0.00,0.00
56.46,414.77,0.00,0.00
56.49,414.88,0.00,0.00
56.54,415.05,0.00,0.00
56.59,415.22,4.62,0.46
56.61,415.29,2.09,0.63
56.64,415.39,0.00,0.00
56.66,415.46,4.29,0.57
56.69,415.56,0.00,0.00
56.74,415.73,0.00,0.00
56.79,415.90,0.00,0.00
56.81,415.97,0.00,0.00
56.84,416.07,0.00,0.00
56.86,416.14,20.20,3.91
56.89,416.24,0.00,0.00
56.91,416.31,3.49,0.78
56.94,416.41,0.00,0.00
56.96,416.48,6.46,0.89
56.99,416.58,2.29,0.83
57.04,416.75,2.28,0.62
57.10,416.96,0.99,0.43
57.11,416.99,0.00,0.00
57.13,417.06,10.70,3.47
57.16,417.16,0.00,0.00
57.19,417.27,0.00,0.00
57.21,417.34,6.77,0.77
57.29,417.61,0.00,0.00
57.31,417.68,0.00,0.00
57.33,417.75,5.78,3.86
57.36,417.85,3.11,0.71
57.40,417.98,7.75,3.19
57.48,418.26,1757.53,67.72
57.51,418.36,1561.76,80.60
57.55,418.50,3895.25,91.88
57.60,418.67,2346.91,89.01
57.63,418.77,946.95,90.57
57.70,419.01,275.57,73.97
57.74,419.13,77.26,28.31
57.78,419.28,22.81,10.95
57.85,419.52,309.62,51.81
57.90,419.69,756.30,53.90
57.93,419.80,738.40,58.01
57.96,419.90,398.31,38.19
58.00,420.10,113.90,7.36
58.04,420.50,215.96,7.24
58.08,420.90,197.12,14.77
58.11,421.20,149.87,15.77
58.15,421.61,149.84,11.14
58.20,422.11,247.08,14.23
58.23,422.41,416.64,25.04
58.30,423.11,321.43,18.85
58.34,423.51,387.12,24.20
58.38,423.91,519.33,32.59
58.41,424.21,688.54,34.68
58.45,424.62,288.17,34.26
58.53,425.42,218.93,32.42
58.56,425.72,410.86,52.62
58.63,426.42,173.72,45.27
58.69,427.02,140.57,33.45
58.71,427.22,149.83,33.53
58.79,428.03,624.05,58.77
58.86,428.73,976.82,56.86
58.90,429.13,240.36,42.01
58.98,429.93,329.24,17.78
59.01,430.23,428.93,29.31
59.04,430.54,188.75,11.53
59.05,430.64,100.43,13.87
59.10,431.14,126.51,11.20
59.13,431.44,118.56,7.62
59.14,431.54,54.51,9.43
59.16,431.74,46.08,10.28
59.17,431.84,44.67,9.64
59.19,432.04,29.09,7.05
59.22,432.34,230.31,39.04
59.32,433.34,262.17,58.81
59.34,433.54,834.14,71.31
59.54,435.55,598.75,13.30
59.74,437.56,680.22,10.23
59.94,439.56,326.60,4.12
59.99,440.07,51.78,1.50
60.04,440.57,10.16,0.34
60.24,442.57,280.67,20.59
60.44,444.58,30.67,3.43
60.64,446.59,1457.97,65.16
60.84,448.59,120.66,1.49
61.04,450.60,949.82,20.22
61.24,452.61,137.04,1.78
61.44,454.61,948.45,17.34
61.49,455.12,358.92,6.47
61.54,455.62,227.26,8.23
61.74,457.62,33.68,1.33
62.54,465.65,7.66,0.33
62.73,467.56,353.09,25.32
62.74,467.66,342.72,36.21
62.83,468.56,290.90,13.41
62.94,469.66,2.77,0.46
63.03,470.57,0.00,0.00
63.23,472.57,0.00,0.00
63.43,474.58,18.79,1.00
63.63,476.59,7.50,0.38
63.83,478.59,0.00,0.00
64.03,480.60,0.00,0.00
64.08,481.21,93.05,0.74
64.13,482.28,0.00,0.00
64.53,490.83,0.00,0.00
64.93,499.39,0.00,0.00
