sample_id,depth,age_ka,d13C,d18O,ird_percent,ird_lithics_gm
"162-980A-7H-2,43-45",70.38,570.8,0.94,3.3,0,0
"162-980A-7H-2,48-50",70.43,571.6,1.01,3.02,0,0
"162-980A-7H-2,53-55",70.48,572.39,,,0.28,28.28
"162-980A-7H-2,58-60",70.53,573.19,0.98,2.82,0.23,13.82
"162-980A-7H-2,63-65",70.58,573.98,1.08,2.92,0.63,32.79
"162-980A-7H-2,68-70",70.63,574.78,1.04,2.93,0,0
"162-980A-7H-2,73-75",70.68,575.57,1.02,3.05,0.34,23.73
"162-980A-7H-2,78-80",70.73,576.37,0.66,2.82,0.55,23.74
"162-980A-7H-2,83-85",70.78,577.16,0.84,2.94,0.15,10.08
"162-980A-7H-2,87-89",70.82,577.8,0.96,2.96,1.54,75.95
"162-980A-7H-2,93-95",70.88,578.75,0.46,2.99,1.8,72.22
"162-980A-7H-2,98-100",70.93,579.54,0.72,2.66,2.26,97.76
"162-980A-7H-2,103-105",70.98,580.34,0.18,2.96,6.14,373.34
"162-980A-7H-2,108-110",71.03,581.13,0.2,3.28,11.54,429.22
"162-980A-7H-2,113-115",71.08,581.93,0.1,3.09,25.74,1284.84
"162-980A-7H-2,118-120",71.13,582.72,0.47,3.41,3.5,205.13
"162-980A-7H-2,123-125",71.18,583.52,0.32,4.07,2.83,337.31
"162-980A-7H-2,128-130",71.23,584.31,0.63,4.11,4,179.15
"162-980A-7H-2,133-135",71.28,584.96,0.58,4.16,2.06,250.85
"162-980A-7H-2,138-140",71.33,585.6,0.59,4.01,0.27,22.26
"162-980A-7H-2,143-145",71.38,586.25,0.4,4.11,0,0
"162-980A-7H-2,148-150",71.43,586.9,0.88,3.99,0.44,40.24
"162-980A-7H-3,3-5",71.48,587.54,0.69,3.87,0,0
"162-980A-7H-3,8-10",71.53,588.19,0.97,3.76,0,0
"162-980A-7H-3,13-15",71.58,588.83,,,0.56,61.83
"162-980A-7H-3,18-20",71.63,589.48,0.33,3.36,0,0
"162-980A-7H-3,23-25",71.68,590.13,0.71,3.57,0,0
"162-980A-7H-3,28-30",71.73,590.77,0.52,3.55,0.23,21.04
"162-980A-7H-3,33-35",71.78,591.42,0.95,3.51,0.16,37.07
"162-980A-7H-3,40-42",71.85,592.32,0.9,3.41,0.15,11.51
"162-980A-7H-3,43-45",71.88,592.71,,,0.56,35.08
"162-980A-7H-3,48-50",71.93,593.36,0.65,3.62,0.17,6.13
"162-980A-7H-3,53-55",71.98,594.01,0.97,3.72,1.98,222.4
"162-980A-7H-3,58-60",72.03,595.07,,,0,0
"162-980A-7H-3,63-65",72.08,596.14,,,0.16,14.78
"162-980A-7H-3,68-70",72.13,597.21,,,0,0
"162-980A-7H-3,73-75",72.18,598.28,0.78,3.73,0,0
"162-980A-7H-3,78-80",72.23,599.34,,,0,0
"162-980A-7H-3,83-85",72.28,600.41,0.73,3.56,0,0
"162-980A-7H-3,87-89",72.32,601.26,,,10.69,237.1
"162-980A-7H-3,93-95",72.38,602.55,0.6,3.55,0.19,12.81
"162-980A-7H-3,98-100",72.43,603.61,0.65,3.37,1.3,108.12
"162-980A-7H-3,103-105",72.48,604.68,0.54,3.54,1.49,87.3
"162-980A-7H-3,108-110",72.53,605.75,0.85,3.77,0.17,45.86
"162-980A-7H-3,113-115",72.58,606.82,0.97,3.8,1.24,224.29
"162-980A-7H-3,118-120",72.63,607.28,0.91,3.54,0,0
"162-980A-7H-3,123-125",72.68,607.75,0.92,3.68,0,0
"162-980A-7H-3,128-130",72.73,608.21,1.14,3.5,0,0
"162-980A-7H-3,133-135",72.78,608.68,1.01,3.45,0.14,48.34
"162-980A-7H-3,138-140",72.83,609.14,0.75,3.07,0,0
"162-980C-9H-2,28-30",72.88,609.61,0.77,3.39,0.28,54.08
"162-980C-9H-2,33-35",72.93,610.07,0.75,3.18,0,0
"162-980C-9H-2,38-40",72.98,610.54,0.88,3.25,0,0
"162-980C-9H-2,43-45",73.03,611,0.78,3.32,0,0
"162-980C-9H-2,48-50",73.08,611.47,0.62,3.24,0,0
"162-980C-9H-2,53-55",73.13,611.93,0.92,3.15,0,0
"162-980C-9H-2,58-60",73.18,612.4,0.49,3.56,0,0
"162-980C-9H-2,63-65",73.23,612.86,0.96,3,0,0
"162-980C-9H-2,68-70",73.28,613.33,0.87,2.97,0,0
"162-980C-9H-2,73-75",73.33,613.79,0.9,2.89,0,0
"162-980C-9H-2,78-80",73.38,614.26,0.87,2.98,0,0
"162-980C-9H-2,83-85",73.43,614.72,0.89,2.89,0.21,26.39
"162-980C-9H-2,88-90",73.48,615.19,0.93,2.9,0,0
"162-980C-9H-2,93-95",73.53,615.65,0.88,2.92,0,0
"162-980C-9H-2,98-100",73.58,616.12,0.74,2.94,0,0
"162-980C-9H-2,103-105",73.63,616.58,0.94,2.98,0,0
"162-980C-9H-2,108-110",73.68,617.05,0.98,2.99,0,0
"162-980C-9H-2,113-115",73.73,617.51,0.89,3.01,,
"162-980C-9H-2,118-120",73.78,617.98,0.75,2.96,0,0
"162-980C-9H-2,123-125",73.83,618.44,0.67,3.06,0,0
"162-980C-9H-2,128-130",73.88,618.69,0.64,3.13,0.3,25.38
"162-980C-9H-2,133-135",73.93,618.95,0.69,3.09,0,0
"162-980C-9H-2,138-140",73.98,619.2,0,2.95,0,0
"162-980C-9H-2,143-145",74.03,619.45,0.26,3.14,0.29,20.78
"162-980C-9H-3,3-5",74.13,619.96,,,0.97,2.04
"162-980C-9H-3,8-10",74.18,620.21,0.24,3.43,0.24,5.11
"162-980C-9H-3,13-15",74.23,620.46,,,2.25,64.37
"162-980C-9H-3,18-20",74.28,620.71,0.36,3.1,0,0
"162-980C-9H-3,28-30",74.38,621.22,-0.03,3.45,0.54,14.2
"162-980C-9H-3,33-35",74.43,621.47,,,0.67,15.01
"162-980C-9H-3,38-40",74.48,621.72,,,0.92,17.74
"162-980C-9H-3,43-45",74.53,621.98,0.15,3.43,0.86,46.2
"162-980C-9H-3,48-50",74.58,622.23,0.13,3.52,18.5,513.25
"162-980C-9H-3,53-55",74.63,622.48,0.11,3.6,10.71,297.85
"162-980C-9H-3,58-60",74.68,622.73,0.27,3.63,13.88,302.22
"162-980C-9H-3,63-65",74.73,622.99,0.16,3.91,19.74,210.45
"162-980C-9H-3,68-70",74.78,623.24,0.16,3.95,83.55,1964.05
"162-980C-9H-3,73-75",74.83,623.88,,,95.24,2202.04
"162-980C-9H-3,78-80",74.88,624.51,0.35,4.37,38.99,656.95
"162-980C-9H-3,83-85",74.93,625.15,0.45,4.59,5,105.67
"162-980C-9H-3,88-90",74.98,625.78,0.33,4.61,0.38,1.1
"162-980C-9H-3,93-95",75.03,626.42,0.09,4.59,0,0
"162-980C-9H-3,98-100",75.08,627.05,,,0.3,1.41
"162-980C-9H-3,103-105",75.13,627.69,,,1.71,5.85
"162-980C-9H-3,108-110",75.18,628.32,,,1.75,11.58
"162-980C-9H-3,113-115",75.23,628.96,,,83.37,629.66
"162-980C-9H-3,118-120",75.28,629.59,-0.05,4.55,96.96,1972.97
"162-980C-9H-3,123-125",75.33,630.23,0.2,4.7,75.65,699.61
"162-980C-9H-3,128-130",75.38,630.86,0.38,4.75,5.82,29.62
"162-980C-9H-3,133-135",75.43,631.5,,,9.73,53.95
"162-980C-9H-3,138-140",75.48,632.13,0.13,4.63,12.85,96.3
"162-980C-9H-3,143-145",75.53,632.77,0.52,4.78,6.11,47.87
"162-980C-9H-3,148-150",75.58,633.4,0.28,4.84,3.06,49.32
"162-980C-9H-4,3-5",75.63,633.78,0.8,4.37,9,156.85
"162-980C-9H-4,8-10",75.68,634.16,0.17,4.88,51.71,968.66
"162-980C-9H-4,13-15",75.73,634.54,0.45,4.77,1.99,330.09
"162-980C-9H-4,18-20",75.78,634.92,0.04,4.48,3.16,303.05
"162-980C-9H-4,23-25",75.83,635.3,0.24,4.8,0.67,99.12
"162-980C-9H-4,28-30",75.88,635.68,0.05,4.82,0.61,48.24
"162-980C-9H-4,33-35",75.93,636.06,0.09,4.75,0.37,79.61
"162-980C-9H-4,38-40",75.98,636.44,0.32,4.33,0.86,47.78
"162-980C-9H-4,43-45",76.03,636.82,0.36,4.69,0.35,30.72
"162-980C-9H-4,48-50",76.08,637.19,0.68,4.51,2.42,3.37
"162-980C-9H-4,53-55",76.13,637.57,,,2.36,144.42
"162-980C-9H-4,58-60",76.18,637.95,,,4.58,105.23
"162-980C-9H-4,63-65",76.23,638.33,0.29,4.61,17.88,2139.67
"162-980C-9H-4,68-70",76.28,638.71,0.38,4.62,2.44,109.4
"162-980C-9H-4,73-75",76.33,639.09,0.17,4.76,1.29,109.22
"162-980C-9H-4,78-80",76.38,639.47,,,1.94,115.09
"162-980C-9H-4,83-85",76.43,639.85,0.42,4.55,1.65,28.54
"162-980C-9H-4,88-90",76.48,640.23,-0.21,3.95,2.29,21.65
"162-980C-9H-4,93-95",76.53,640.61,0.48,4.39,2.2,57.77
"162-980C-9H-4,98-100",76.58,640.99,,,2.39,30.94
"162-980C-9H-4,103-105",76.63,641.37,0.09,4.53,0.2,1.16
"162-980C-9H-4,108-110",76.68,641.75,-0.44,4.53,0,0
"162-980C-9H-4,113-115",76.73,642.13,-0.2,4.48,0,0
"162-980C-9H-4,118-120",76.78,642.51,,,0,0
"162-980C-9H-4,123-125",76.83,642.89,0.01,4.48,1.49,16.82
"162-980C-9H-4,128-130",76.88,643.27,-0.72,4.49,0.37,1.23
"162-980C-9H-4,133-135",76.93,643.65,,,0.45,3.6
"162-980C-9H-4,138-140",76.98,644.02,,,0,0
"162-980C-9H-4,143-145",77.03,644.4,,,0.97,3.93
"162-980C-9H-4,148-150",77.08,644.78,,,0.37,3.22
"162-980C-9H-5,3-5",77.13,645.16,,,1.68,22.84
"162-980C-9H-5,8-10",77.18,645.54,0.17,4.28,77.59,1143.08
"162-980C-9H-5,13-15",77.23,645.92,,,93.24,2190.3
"162-980C-9H-5,18-20",77.28,646.3,,,99.33,4112.72
"162-980C-9H-5,23-25",77.33,646.68,,,14.29,243.93
"162-980C-9H-5,28-30",77.38,647.06,0.51,4.65,2.66,67.59
"162-980C-9H-5,33-35",77.43,647.44,,,2.55,46.97
"162-980C-9H-5,38-40",77.48,647.82,0.66,4.29,1.1,18.69
"162-980C-9H-5,43-45",77.53,648.2,0.43,4.62,4.42,382.98
